known_lev_indices,known_lev_values
0,0
1,0.950325
2,1.597196
3,3.350492
4,4.028987
5,4.56079
6,4.950063
7,5.204698
8,9.812859
9,10.708331
10,11.321856
11,11.651277
12,13.260687
13,13.404321
14,13.593288
15,17.771505
16,18.031427
17,18.33864
18,18.973728
19,21.624526
20,22.009343
21,22.414429
22,24.074419
23,24.26738
24,24.411478
26,24.886399
25,25.147231
27,25.317516
28,25.861321
30,27.484373
32,27.585137
33,28.111872
37,31.199412
47,84.014172
48,84.586862
49,85.16764
50,85.481683
51,85.596165
52,85.876264
53,86.3467
54,86.940145
56,90.302773
58,90.464584
60,90.697459
61,90.753261
63,90.967579
62,90.975534
64,91.049421
65,91.326926
67,91.352875
68,91.358987
66,91.40849
69,91.424767
71,91.623449
80,92.359177
86,92.88941
70,91.646439
72,91.667334
74,91.918195
73,91.928985
75,91.932083
78,91.958362
77,92.044909
76,92.120639
82,92.317365
83,92.403194
79,92.405994
84,92.519974
85,92.639839
87,93.678418
88,93.738784
91,94.36858
92,94.743691
291,45.197708
292,45.37875
293,45.972034
294,46.320829
295,46.452697
298,47.039103
297,47.078489
299,47.345842
300,47.537362
301,47.807492
302,47.84878
303,47.995591
304,48.150939
305,48.38844
306,48.55605
307,49.348301
308,49.69768
309,50.036346
310,50.381721
311,50.914321
312,51.512265
313,52.229724
314,52.684629
321,62.440074
324,63.36733
329,63.586984
330,63.615986
327,63.665188
342,65.408362
345,65.657247
325,63.510176
331,64.360055
333,64.401355
335,65.016912
343,66.017644
316,61.240742
317,61.260317
319,61.350266
318,61.388246
323,63.306683
322,63.344329
328,63.792713
332,63.865166
334,64.601776
337,64.605523
340,64.914627
336,64.957479
341,65.028509
339,65.154036
338,65.174656
344,65.511986
346,67.209256
347,67.524012
348,67.824384
349,67.939366
352,69.059926
357,69.317067
358,69.356238
359,69.637019
363,70.265914
362,70.457533
365,70.774864
367,70.857051
372,71.846438
375,72.535108
376,72.654172
377,73.144332
380,74.522913
